Taxon	SUL_m	SUL_f	log_SUL_m	log_SUL_f	SSD_1	SSD_2	Subfamily	Hyperoliinae	Hyperolius	Dichromatism	Ecology	Sex
Hyperolius_tuberilinguis	26.7	31.43	3.28	3.45	0.177	0.823	Hyperoliinae	Hyperolioids	Clade2	Dichro	Arboreal	normal
Hyperolius_veithi	25.7	33.9	3.25	3.52	0.319	0.681	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_viridiflavus_glandicolor	29.74	29.79	3.39	3.39	0.002	0.998	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
Hyperolius_viridiflavus_ngorongoriensis	29.55	30.11	3.38	3.4	0.019	0.981	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
Hyperolius_viridiflavus_pantherinus	31.88	37.14	3.46	3.61	0.165	0.835	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
Hyperolius_viridiflavus_pitmani	31.01	33.85	3.43	3.52	0.092	0.908	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
Morerella_cyanophthalma	29	32.3	3.37	3.48	0.114	0.886	Hyperoliinae	Hyperolioids	na	Dichro	Arboreal	normal
Hyperolius_mariae_2	23.3	24.55	3.15	3.2	0.054	NA	Hyperoliinae	Hyperolioids	Clade1	Mono	Arboreal	change
Hyperolius_marmoratus_argentovittis	33.1	30.81	3.5	3.43	-0.074	NA	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
Hyperolius_marmoratus_verrucosus	27.82	26.48	3.33	3.28	-0.051	NA	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
Hyperolius_viridiflavus_ferniquei	31.13	32.57	3.44	3.48	0.046	NA	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
Hyperolius_viridiflavus_goetzei	25.78	26.59	3.25	3.28	0.031	NA	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
Hyperolius_viridiflavus_rubripes	22.71	24	3.12	3.18	0.057	NA	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
Hyperolius_viridiflavus_viridiflavus	27.03	27.47	3.3	3.31	0.016	NA	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	change
